num_bikes_available,num_docks_available,num_ebikes_available,station_id,num_bikes_disabled,last_reported,is_installed,num_docks_disabled,time,total_docks,per_num_docks_available,per_num_bikes_available,name,lat,lon,capacity_original,zipCode,capacity_zip_sum
6,18,1,5526b855-dc09-4159-a20a-99651861a481,1,1709648302,1,0,2024-03-05 14:18:22,25,72.0,24.0,17 St & 5 Ave,40.663493,-73.991007,25,11215,1088
15,7,0,c190f78c-77ad-469e-aecc-e2af7bb6d92a,1,1709648302,1,0,2024-03-05 14:18:22,22,31.818181818181817,68.18181818181817,26 Ave & 2 St,40.77684387,-73.93463418,23,11102,414
11,10,1,1851674198082642572,1,1709648302,1,0,2024-03-05 14:18:22,22,45.45454545454545,50.0,Corona Ave & 111 St,40.7408,-73.84978,22,11368,996
14,9,5,0b613329-b8c8-4b8c-ad40-79952aa41157,2,1709648302,1,0,2024-03-05 14:18:22,28,32.142857142857146,50.0,1 Ave & E 110 St,40.7923272,-73.9383,25,10029,639
11,13,0,4223f276-a4d4-45e0-b914-67f5ef1e81ba,1,1709648303,1,0,2024-03-05 14:18:23,24,54.166666666666664,45.83333333333333,34 St & 38 Ave,40.752443,-73.929737,25,11101,1806
30,37,7,66dc7e75-0aca-11e7-82f6-3863bb44ef7c,0,1709648303,1,1,2024-03-05 14:18:23,74,50.0,40.54054054054054,E 47 St & 1 Ave,40.75206862,-73.96784384,70,10017,807
6,13,1,c229f0ca-bdd1-4aa0-8906-a3e809e12889,3,1709648303,1,0,2024-03-05 14:18:23,20,65.0,30.0,Bradhurst Ave & W 148 St,40.825125,-73.941616,22,10039,249
5,19,1,1851999409149780880,0,1709648303,1,0,2024-03-05 14:18:23,25,76.0,20.0,Church Ave & E 45 St,40.65159,-73.93535,24,11203,742
17,12,5,36d80620-9774-487e-8eb0-cf5f18a39321,2,1709648303,1,1,2024-03-05 14:18:23,34,35.294117647058826,50.0,E 188 St & Creston Ave,40.861669,-73.898589,33,10468,708
3,16,1,bc346753-b68a-4cb3-b93f-b0be68227eae,1,1709648303,1,0,2024-03-05 14:18:23,20,80.0,15.0,21 St & 21 Ave,40.782465,-73.914527,21,11105,731
7,13,1,1817432346178415570,1,1709648303,1,0,2024-03-05 14:18:23,21,61.904761904761905,33.33333333333333,Bedford Ave & Albemarle Rd,40.64796,-73.9556,21,11226,713
