num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
14;4;4f57360d-a4cb-4568-b74a-f3086ccaee2e;4443;7;1;0;0;Seaman Ave & Beak St;True;40.867.505;-73.926.363;21;10034;408;
12;1;1,83807E+18;1,83807E+18;7;1;0;4;99 St & Astoria Blvd;True;4.076.196;-7.387.042;23;11369;564;
0;0;3ff00115-e8da-4326-97d3-7bf4fe4df7a5;4904;19;1;0;1;Macon St & Howard Ave;True;4.068.452;-7.392.011;20;11233;877;
16;15;e2fc6d90-8deb-4e21-961d-9d5208c1f986;4703;13;1;0;5;E 14 St & 1 Ave;True;4.073.139.303.364.150;-7.398.286.700.248.710;34;10003;2245;
4;4;7380e377-936d-47d7-8abe-0f666d47465e;4087;10;1;0;7;W 170 St & University Ave;True;4.084.207;-73.926.075;22;10452;570;
43;6;bde94a25-6089-4490-af3a-8cc5702230b8;3467;17;1;0;6;W Broadway & Spring St;True;4.072.494.672.359.410;-7.400.165.855.884.550;66;10012;719;
58;41;c7ffe3fa-9cd6-4d35-9060-7d5822381442;4724;10;1;0;4;E 20 St & FDR Dr;True;40.733.208.626.522.400;-739.756.813.647;75;10010;792;
1;1;bb6bba3f-19a0-4ebb-a454-4ac678d9d62d;4953;19;1;0;1;St Johns Pl & Utica Ave;True;406.705;-739.308;21;11213;698;
19;11;199ea9dd-8f7e-4e05-a730-55edaacd8787;3898;36;1;0;2;E 63 St & 3 Ave;True;40.763.954;-739.646;57;10065;421;
1;0;9d23b0e9-a478-407c-a0e0-0aff1b0398fc;3876;21;1;1;0;Forest Ave & Summerfield St;True;4.069.922;-7.389.795;23;11385;909;
28;26;66dc9068-0aca-11e7-82f6-3863bb44ef7c;2006;40;1;0;4;Central Park S & 6 Ave;True;4.076.590.936;-7.397.634.151;73;10019;1746;
17;0;66dcf640-0aca-11e7-82f6-3863bb44ef7c;3085;6;1;0;2;Roebling St & N 4 St;True;4.071.469;-7.395.739;25;11211;967;
2;0;66dcca0d-0aca-11e7-82f6-3863bb44ef7c;3062;18;1;0;4;Myrtle Ave & Marcy Ave;True;4.069.539.817;-7.394.954.908;23;11206;831;
4;1;1,86975E+18;1,86975E+18;17;1;0;1;Southern Blvd & E 187 St;True;408.535;-7.388.177;23;10458;772;
0;0;94bcf812-5cff-460c-841f-54876ed1e7a4;4971;19;1;0;0;Schenectady Ave & Prospect Pl;True;4.067.351;-7.393.363;19;11213;698;
14;1;1,83415E+18;1,83415E+18;5;1;0;1;88 St & Astoria Blvd;True;4.076.424;-738.812;20;11369;564;
11;10;66dc864c-0aca-11e7-82f6-3863bb44ef7c;530;9;1;0;1;11 Ave & W 59 St;True;4.077.149.671.054.440;-7.399.046.033.620.830;24;10019;1746;
16;1;48e7e465-f861-452a-9bf7-7eacd0b2bcac;4374;2;1;0;1;48 St & 2 Ave;True;40.650.176;-74.015.606;19;11220;832;
0;0;7f6674c4-5568-4766-b172-0385348ae184;3945;19;1;0;1;Amsterdam Ave & W 136 St;True;40.819.746;-73.951.819;21;10031;411;
61;8;66dc481a-0aca-11e7-82f6-3863bb44ef7c;483;7;1;0;1;E 12 St & 3 Ave;True;4.073.223.272;-7.398.889.957;70;10003;2245;
18;5;3db2fa34-0b56-4644-9ae9-bbee1583e717;4115;6;1;0;1;Bronx Shore Comfort Station;True;4.080.046;-7.392.404;25;10035;556;
23;1;1,84609E+18;1,84609E+18;1;1;0;0;51 Ave & Van Loon St;True;4.073.832;-7.387.913;24;11373;769;
