eightd_station_services,name,station_id,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity,eightd_has_key_dispenser,zipCode
[],Mercer St & Spring St,66db6d40-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.72362738,False,-73.99949601,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",67,False,10012
[],39 Ave & 45 St,514f3dda-4d08-464c-b2d4-5706d400065a,True,classic,71,40.749478221834764,False,-73.91826465725897,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11104
[],Jerome Ave & Bedford Park Blvd E,8ef6ec7d-e898-4edc-8f3f-af888f8c5ef4,True,classic,71,40.87307,False,-73.88971,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,10468
[],Macon St & Howard Ave,3ff00115-e8da-4326-97d3-7bf4fe4df7a5,True,classic,71,40.68452,False,-73.92011,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11233
[],Eames Pl & Claflin Ave,1861683747231494964,True,classic,,40.8692,False,-73.90121,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10468
[],Aqueduct Ave & North St,dadd2084-d844-46f5-b7a4-128d31eeba8e,True,classic,71,40.8604787,False,-73.9057169936,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10468
[],W 84 St & Amsterdam Ave,1833865926273309136,True,classic,,40.78621,False,-73.9756,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",63,False,10024
[],W 11 St & 6 Ave,66db4282-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.73532427,False,-73.99800419,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",47,False,10011
[],Jerome Ave & Ogden Ave,f752c376-3a6f-4cd3-b9fd-3c049d45a9a6,True,classic,71,40.829797,False,-73.931015,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,10452
[],57 St & 4 Ave,380394f7-64fa-4a65-a4d1-7bcaddd41fab,True,classic,71,40.642622,False,-74.016866,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,11220
